id,field_id,titel_autor,rasignatur,volltext,unique_key,file,field
21260,2155.0,JAHRE,97279,Jahre Jahre 50 Knabenmusik der Stadt Zürich 1918 1968 Zürich 1968 4° 70 S ill,"97279JAHRE S., ill. ",chunk_4,
21261,2156.0,JAHRE,6663,Jahre Jahre 50 Knorr Nährmittel AG Thayngen 1907 1957 Illustriert Thayngen 1957 100 S,6663JAHRE (100 S.Ì ,chunk_4,
21262,2157.0,JAHRE,93196,"Jahre 50 Konkordia 1914 1964 Kranken- und Unfallkasse des Schweizerischen Katholischen Volksvereins Ein Rückblick verfasst im Auftrag des Zentralvorstandes von Josef Millier, Paul Aschwandener, Rudolf Meier. Illustriert Luzern 1964",93196JAHRErn 1964.) ,chunk_4,
21263,2158.0,JAHRE,6644,Jahre Jahre 50 Lonza Elektrizitätswerke und chemische Fabriken Aktiengesellschaft 1897–1947 Mit Illustrationen von Otto Baxmüller Zürich Fretz 1947 80 S G 134 ç,6644JAHRE) G 134 ç ,chunk_4,
21264,2159.0,JAHRE,1517/1,Jahre Jahre 50 materielle Versicherungsaufsicht nach dem Gesetz vom 12. Mai 1901 Herausgegeben von Prof. Dr. Walter Rohrbeck Band I Allgemeine Fragen des Versicherungsrechts und der Versicherungswirtschaft Mit einem Vorwort des Präsidenten des Bundesaufsichtsa,1517/1JAHREaufsichtsa,chunk_4,
21265,2160.0,JAHRE,1517/2,Jahre Jahre 50 materielle Versicherungsaufsicht nach dem Gesetz vom 12. Mai 1901 Herausgegeben von Prof. Dr. Walter Rohrbeck Band II Entwicklung und Fortschritt in den beaufsichtigten Institutionen Mit einem Vorwort des Präsidenten des Bundesaufsichtsa,1517/2JAHREaufsichtsa,chunk_4,
21266,2051.0,CERESOLE,,Ceresole Ernst Roelli Hans J. Entwurf zu einem Bundesgesetz über den Versicherungsvertrag 1896 702,ERNCERESOLE896. 702. ,chunk_1,
21267,2052.0,CERUTTI,12560,Cerutti N. Mario Cerutti N. M. Einführung in die Rechtswissenschaft Band 1 Zum Recht im Allgemeinen Zürich Studio Verlag Postfach 1975 21 cm 159 S G Verlag,12560N. MARIOCERUTTI          ,chunk_1,
21268,2053.0,CESTRE,,Oestre Charles e Dubois Marguerite. Dictionnaire moderne français-anglais,CHARLESCESTRE anglais. ,chunk_1,
21269,2054.0,CHABANNES,16001/2,Chabannes Chabannes Jean-Antoine Gauclin Symard Nathalie Le manuel de l'assurance vie Tome 2 Les assurances collectives les assurances complémentaires Paris L'Argus Éditions Securitas 1993 24 cm € 40 p 31578 G Sciiewille,16001/2CHABANNEScìieiwille,chunk_1,
21270,2055.0,CHABANNES,16001/1,Chabannes Jean-Antoine Gauclin Éymard Nathalie Le manuel de l'assurance—vie Tome 1s principes généraux les assurances individuelles Paris L'Argus Éditions Securitas 1992 24 cm 317 p 31171 G Scheivriller ™,16001/1CHABANNESler)    ™ ,chunk_1,
21271,2056.0,CHABANNES,97613,Chabannes Chabannes Jeaji Antoine Nature de l assurance vie au jour d hui Assurance de risque ou opération d épargne Thèse Univ Paris I 2 tomes Paris 1991 30 cm 623 p. 2 tomes,"97613CHABANNES, ---„—«* ",chunk_1,
21272,2057.0,CHABANNES,5616,Chabannes Jean-Antoine Chabannes Jean-Antoine Une assurance qui change la vie Préface de Pierre Moussa Super guide clé Vol 1 Paris Cercle du Livre Économique 1969 8° 10 p tat G 915,5616JEAN-ANTOINECHABANNEStat G 915 ,chunk_1,
21273,2058.0,CHABANNES,2927,Chabannes » Jean Antoine Chabannes Jean Antoine. Une assurance qui change la vie. Préface de Pierre Moussa. Illustrations Puig Rosado. Paris: Cercle du Livre Économique 1969. 22 cm. 207 p.,2927JEAN-ANTOINECHABANNESm. 207 p. ,chunk_1,
21274,2059.0,CHAMBER OF COMMERCE,94755,Chamber of Commerce Chamber of Commerce the British Swiss in Switzerland Members handbook 15th edition 1963 Zürich 196 88 p,94755CHAMBER OF COMMERCE(88   p.) ,chunk_1,
21275,2060.0,CHAMBERLIN,,Chamberlin William F. Chamberlin William F. The psychology of group insurance An educational booklet for agents selling group insurance New York The Spectator Company 1924 65 p,WILLIAM FCHAMBERLIN  (65 p.) ,chunk_1,
