id,field_id,titel_autor,rasignatur,volltext,unique_key,file,field
12206,1218.0,WALLINGER,84014,84014 Wallinger Regul Rudolf Renner Wolfgang Finanzen und Steuern in der Europäischen Integration,84014WALLINGERegration. ,chunk_9,
12207,1219.0,WALLINGER,84015,84015 Wallinger Taxation the of companies in Europe,84015WALLINGERn Europe. ,chunk_9,
12208,1220.0,WALLINGER,84026,84026 Wallinger Höhn Ernst Hensel Johannes Käppeli Josef Das Einkommensteuerrecht der Kantone,84026WALLINGER Kantone. ,chunk_9,
12209,1211.0,N,84209,84209 Cassell's German-English Dictionary,84209Nctionary. ,chunk_6,
12210,1212.0,N,84278,84278 N Peters » Heinz Wohnungseigentum Vorbereitungs Bauab lauf Verwaltung,84278Nrwaltung. ,chunk_6,
12211,1213.0,N,84298,84298 N Wiederkehr Peter Das zuregerische Quartierplanrecht,84298Nplanrecht ,chunk_6,
12212,1214.0,N,84320,84320 Schalldämmung Berechnung Anwendung Meßwerte Zürich 1979,84320N (1979) . ,chunk_6,
12213,1215.0,N,84029,84029 N Laage Gerhart Herr Max Walter Die Wohnung von heute für Ansprüche von morgen,84029Nn morgen. ,chunk_6,
12214,1216.0,N,86180,86180 N Erlasse zum Planungs- und Baurecht Herausgegeben von der Direktion der Öffentlichen Bauten des Kantons Zürich Zürich Kantonale Drucksachen und Materialienzentrale 1990 J 23 cm Ordner,86180Nm.Ordner. ,chunk_6,
12215,1217.0,N (GERBER),81504,81504N Gerber Energiehaushalt im Hochbau La gestion de l énergie dans le bâtiment SIA Dokumentation 16 1976,81504N (GERBER)6). 1976. ,chunk_6,
12216,1218.0,N (GERBER),82121,82121 N Gerber Sparsamer heizenwirtschaftlicher Heizen 2 Überarbeitete Auflage Kreuzungen 1979,82121N (GERBER)en 1979). ,chunk_6,
12217,1219.0,N (GERBER),84701,Huber Verena Grundlagen zur Auswahl und Benutzung der Wohnung,84701N (GERBER) Wohnung. ,chunk_6,
12218,1220.0,N (NIEDERMANN),82140,82140 N Niedermann Wiegand Jürgen Keller Thomas Wohnungsbewertung in der Anwendung Schriftenreihe Wohnungswesen Band 9,82140N (NIEDERMANN). Band 9. ,chunk_6,
12219,1161.0,STADLER (FI/AS),88174,88174 U Stadler FIAS Langenscheidt Ls Handwörterbuch Englisch 3. Auflage Berlin Langenscheidt KG 1998 25 cm 1493 S,88174U.STADLER (FI/AS)1493+28 S ,chunk_8,
12220,1162.0,STADLER (FI/AS),88266,88266 Urs Stadler FIAS Langenscheidt Ls Handwörterbuch Englisch 4. Aufl. Berlin: Langenscheidt KG 1999. 25 cm. 149 328 S.,88266URSSTADLER (FI/AS)493+28 S. ,chunk_8,
12221,1163.0,STADLER (FI/AS),88268,88268 Urs Stadler FLAS Langenscheidt L1s Handwörterbuch Französisch 4. Auflage Berlin Langenscheidt KG 1998 25 cm 1600 S,88268URSSTADLER (FI/AS)600+28 S. ,chunk_8,
12222,1164.0,STADLIN,,Stadlin Alois Stadlin Alois Betriebskunde Praxisorientierte Einführung für Wirtschaftsschulen Ausgabe 1991 Lehrerhandbuch 52 S. 1990 Rüsselsheimer Seifert-Verlag 1991 30 cm 216 S. 0001 • Kel,ALOISSTADLIN       Kel,chunk_8,
12223,1165.0,STÄDTE,,Städte Städte und Landschaften der Schweiz 14 S. Laederer Benjamin Zürich Herausgegeben,STÄDTEsg.v.B'L1 ,chunk_8,
12224,1166.0,STADTPLAN,,Stadtplan Stadtplan Bern s Bern Stadt Stadtplan Bern üloou,STADTPLAN ülO'OUu. ,chunk_8,
12225,1167.0,STADTPLANATLAS,,Stadtplanatlas Staatsplanatlas der Schweiz Karten Schweiz Stadtplanatlas der Schweiz,STADTPLANATLASr Schweiz ,chunk_8,
12226,1168.0,STADTPLÄNE,82903,Stadtpläne Stadtpläne 29 der Schweiz Mit Straßenverzeichnis Plans de villes suisses avec index des routes Bern: Kramerly Frey 1971 21 cm 121 S,82903STADTPLÄNE S. 12021 ,chunk_8,
12227,1169.0,STADTVERFASSUNG,,Stadtverfas Bühe Stadtverfasseung die Zürcher BKlöti Emil 1934,STADTVERFASSUNG..	1934-. ,chunk_8,
12228,1170.0,STAEDELI AD 570,82667,"62667 Städell, Ad. 570 Thomas, Adolphe. V Dictionary des Difficultés de laLangue Fran�aise 1977",82667STAEDELI AD 570. (1977). ,chunk_8,
12229,1131.0,FRL.LÜTHI (L),"86158/1,2,3,4,5,6,7,8,9",Frl Lüthi I Iiachat David Micheli Jacques Le nouveau droit du bail Lausanne ASLOCA Association suisse des locataires 1990 25cm 430 p,"86158/1,2,3,4,5,6,7,8,9FRL.LÜTHI (L)cm.430 p. ",chunk_3,
12230,1132.0,FRL.MARRA (VW),86114,86114 Frl. Marra TW Garzanti II großes Taschenwörterbuch der italienischen Sprache. Ristampa Milano Officine Grafiche Garzanti Editore 1989 25 cm XV 2268 p,"86114FRL.MARRA (VW)V,2268 p. ",chunk_3,
12231,1133.0,FRL.MARTIG (EP),84819,84819 Frl. Martig EP Duden Rechtschreibung der deutschen Sprache und der Fremdwörter 18. Auflage Mannheim 1980,84819FRL.MARTIG (EP). (1980). ,chunk_3,
12232,1134.0,FRL.MARTIG (EP),84820,84820 Frl. Martig EP Langenecheidt Ls Handwörterbuch Französisch Berlin 1982,84820FRL.MARTIG (EP). (1982). ,chunk_3,
12233,1135.0,FRL.MARTIG (EP),84821,84821 Frl. Martig KP Langenacheidt LS Handwörterbuch Englisch Berlin 1982,84821FRL.MARTIG (EP)([l9J82). ,chunk_3,
12234,1136.0,FRL.MEIER (S),85336,85336 Frl. Meier S. Kracke Ulrich. ENABLE Praktikum Musterbeispiele mit unterschiedlichem Schwierigkeitsgrad Tipa und Tricks zur Arbeitserleichterung 8. Auflage. Haar München: Technik Verlag AG 1987.,"85336FRL.MEIER (S)G,(1987). ",chunk_3,
12235,1137.0,FRL.MORITZI (EA),84845,84845 tfrl Moritzi EA Duden Rechtschreibung der deutschen Sprache und der Fremdwörter 18. Auflage Mannheim 1960,84845FRL.MORITZI (EA) (I960) . ,chunk_3,
12236,1138.0,FRL.MORITZI (EA),84307,84307 Frl. Morltzl EA Langenscheidt Ls Handwörterbuch Französisch Berlin 1983,84307FRL.MORITZI (EA). (1983). ,chunk_3,
12237,1139.0,FRL.MORITZI (EA),86177,86«177 Frl Moritzi EA Duden Grammatik der deutschen Gegenwartssprache 4A Mannheim Dudenverlag 1984 20 cm 804 S,86177FRL.MORITZI (EA)cm.804 S. ,chunk_3,
12238,1140.0,FRL.NÄF (IN),86006,86006 Frl. J. Näf in Langenscheidt L1 S Handwörterbuch Englisch Berlin Langenscheidt KG 1988 25 cm 1470 S,86006J.FRL.NÄF (IN)cm.1470 S ,chunk_3,
12239,1271.0,ASTIN BULLETIN,645,Astin Bulletin «ff Astin Bulletin the Publication of the Astin section of the Permanent Committee for International Actuarial Congresses Vol. 1959 1961 London 1959,645ASTIN BULLETIN [1959] - ,chunk_0,
12240,1272.0,ASTIN BULLETIN THE,,"Brück, E. Brück, E. Reichsgesetz über den Versicherungsvertrag nebst dem zugehörigen Einführungsgesetz Vom 30. Mai 1908 7. Auflage 20. bis 23. Tausend Guttentagsche Sammlung Deutscher Reichsgesetze Nr 83 Berlin: W de Gruyter & Co 1932 (VIII 563 56 S)","ASTIN BULLETIN THE.. , p, t ",chunk_0,
12241,1273.0,ASUT,,"Brück, E. Brück, E. Reichsgesetz über den Versicherungsvertrag nebst dem zugehörigen Einführungsgesetz Vom 30 Mai 1908 7. Auflage Guttentagsche Sammlung Deutscher Reichsgesetze Nr 83 Berlin W de Gruyter & Co 1932 (VIII 563 56 S)",ASUTBulletin. ,chunk_0,
12242,1274.0,ASUT-BULLETIN,73067,ASUT Bulletin 73 ASUT Bulletin Hrsg. von der ASUT Schweizerische Vereinigung von Fernmeldebenutzern Association suisse des usagers de télécommunications Nr. 17 August 1980 Zürich ASUT Postfach 8023 Zü rich 1980 30 cm,"73067ASUT-BULLETIN""   -30cm ",chunk_0,
12243,1275.0,ATAG,,ATA GATA GATAG Praxis Fachinformationen der Allgemeinen Treuhand AG August 1981 s Sozialbilanz Gesellschaftbezogene Unternehmungsrechnung Sozialberichte Erstellung,ATAGtat tung. ,chunk_0,
12244,1276.0,ATEMPAUSE,5491,Atempause Atempause die Ein Büchlein für Vielbeschäftigte Illustr. München Körner Verlag o J 64 5 G 637,5491ATEMPAUSE5.) G 637 ,chunk_0,
